asin,product_name,brand_name,product_category,number_of_reviews,review_rating
B00J8740YI,Razer BlackShark Over Ear Noise Isolating PC Gaming Headset - Metal Construction and Compatible with PS4,Razer,pc,209,4.1
B01LWOKH7C,"RAZER KRAKEN PRO V2: Lightweight Aluminum Headband - Retractable Mic - In-Line Remote - Gaming Headset Works with PC, PS4, Xbox One, Switch, & Mobile Devices - Black",Razer,pc,142,3.92
B01798WKTY,"Razer Naga Chroma - Ergonomic RGB MMO Gaming Mouse- 12 Programmable Thumb Buttons & 16,000 Adjustible DPI",Razer,pc,951,3.68
B075KMZ4MX,Razer Cynosa Chroma Gaming Keyboard: Customizable Chroma RGB Lighting - Individually Backlit Keys - Spill-Resistant Design - Programmable Macro Functionality,Razer,pc,628,4.07
B01N9SSQ9E,"Razer Blade 14"""" Thin & Light Gaming Laptop - Full HD - Intel Core i7-7700HQ - NVIDIA GeForce GTX 1060 - 16GB RAM - 512GB SSD - Windows 10 - VR Ready - CNC Aluminum",Razer,pc,139,3.47
B00PAZ07GC,Thule Vectors 13” MacBook Pro with Retina Display ONLY Bumper in Black,Thule,pc,210,3.77
B006MRAVFE,Wacom Wireless Accessory Kit for Bamboo and Intuos Tablets (ACK40401),Wacom,pc,1374,4.1
B071FJ4NFF,"Wacom CS610PK Bamboo Sketch, CS-610PK (fine tip Stylus by, Natural Sketching on iPad and iPhone), Black",Wacom,pc,74,3.29
B079HL9YSF,"Wacom CTL4100 Intuos Graphics Drawing Tablet with 3 Bonus Software included, 7.9""""x 6.3"""", Black",Wacom,pc,474,4.09
B01M2TRTNL,"Belkin Thunderbolt 3 Dock w/ 2.6ft Thunderbolt 3 Cable (Thunderbolt Dock for MacBook Pro models  from 2016 or later, includes the 2018 version), Dual 4K @60Hz, 40Gbps Data Transfer Speeds)",Belkin,pc,51,2.86
B00BWHILCY,"Belkin QODE Ultimate Keyboard Case for iPad 2 (2011 model), iPad 3rd Gen and iPad 4th Gen (Black) (F5L149ttBLK)",Belkin,pc,1075,4.03
B077ZGRY9V,"HyperX Cloud Flight - Wireless Gaming Headset, with Long Lasting Battery Up to 30 hours of Use, Detachable Noise Cancelling Microphone, Red LED Light, Bass, Comfortable Memory Foam, PS4, PC, PS4 Pro",HyperX,pc,781,3.94
B0799NH2MP,IOGEAR Wireless HD 1080P HDMI Screen Sharing and Miracast TV Streaming Video Audio Extender,IOGEAR,pc,11,2.72
B0771WSK46,"IOGEAR USB-C 4-in-1 4K Multi-Port Adapter, GUH3C3PD",IOGEAR,pc,0,0
B00BGRML08,Kicker Front Row (12 ZXDSP1) 6-Ch Digital Signal Processor,Kicker,pc,15,4.46
B01MDOH1NO,Lenovo IdeaCentre 510-23ISH F0CD002WUS 23-Inch All-in-One Desktop,Lenovo,pc,0,0
B01N0BZWQP,"Lenovo Yoga Mouse, Silver, Ultra Slim 13.5mm, 180 Degree rotatable Hinge, 2.4G or Bluetooth 4.0 Wireless Connection, Multilayer Adaptive touchpad, Rechargeable Battery, GX30K69568",Lenovo,pc,123,3.73
B01I7TTI3A,"Lenovo Yoga Mouse, Black, Ultra slim 13.5mm, 180 degree rotatable hinge, 2.4G or Bluetooth 4.0 wireless connection, Multilayer adaptive touchpad, Rechargeable battery, GX30K69565",Lenovo,pc,99,3.87
B0195XYZY4,"Lenovo ideacentre F0BV001CUS 20"""" Desktop (Black)",Lenovo,pc,3,4.66
B074MJHTRS,Lenovo Flex 11 Chromebook 11.6-Inch HD IPS Touch Panel (1366x768) MTK 8173c 4GB 32GB Chrome - ZA270025US,Lenovo,pc,76,3.77
B009AEMB6I,Lenovo 45W Computer Charger - Slim Tip AC Adapter (888014197),Lenovo,pc,64,3.68
B00OLU11DA,Buffalo PoE Smart 24 Port Business Switch (BS-GS2024P),Buffalo,pc,4,4.75
B0143UM4TC,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3200MHz C16 Desktop Memory Kit - Black (CMK16GX4M2B3200C16),Corsair,pc,736,4.57
B0134EW7G8,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),Corsair,pc,1507,4.53
B0085IWXB8,Corsair CMZ16GX3M2A1600C9 Vengeance 16GB (2x8GB) DDR3 1600 MHz (PC3 12800) Desktop Memory 1.5V,Corsair,pc,78,4.66
B01MYDTC2C,CORSAIR iCUE Lighting Node PRO RGB Lighting Controller,Corsair,pc,172,4.16
B06ZXY5XMW,CORSAIR Vengeance RGB 32GB (4x8GB) DDR4 3466MHz C16 Desktop Memory - Black,Corsair,pc,4,4
